Employee_ID,Rank,Name,Branch,Pool,Entry_type,8_yr_avg_eval,Appointment_history,Training_history,Promotion_history,promotion_status,DOB,current_appointment,appointed_since
200200,Lieutenant (jg),Elaan Duran,Engineering,Galactic,Cadet,73.19,Div Officer CS Meridian / Post 2 (22 SEP 2018 -  ),Engineering Specialization Course (22 MAR 2018 - 22 SEP 2018),Lieutenant (jg)(22 MAR 2018 -  ),1,14/02/1941,Div Officer CS Meridian / Post 2,22-Sep-18
200201,Lieutenant (jg),Phlox Marin,Tactical Systems,Planetary Surface,Direct Enlist,70,Asst Manager Planetary Repair Depot One / Post 2 (21 AUG 2022 -  ),,Lieutenant (jg)(21 AUG 2022 -  ),0,26/03/1941,Asst Manager Planetary Repair Depot One / Post 2,21-Aug-22
200202,Lieutenant (jg),Varis Korin,Tactical Systems,Near Earth,Direct Enlist,70,Asst Manager Planetary Repair Depot One / Post 3 (27 FEB 2022 -  ),,Lieutenant (jg)(27 FEB 2022 -  ),0,25/04/1949,Asst Manager Planetary Repair Depot One / Post 3,27-Feb-22
200203,Lieutenant (jg),Xan Voss,Engineering,Planetary Surface,Direct Enlist,70.66,Asst Manager Planetary Repair Depot Two / Post 3 (02 JUN 2021 -  ),,Lieutenant (jg)(02 JUN 2021 -  ),0,06/05/1943,Asst Manager Planetary Repair Depot Two / Post 3,02-Jun-21
200204,Lieutenant (jg),Xan Vant,Tactical Systems,Planetary Surface,Cadet,70,Div Officer SS Daedalus / Post 3 (21 MAR 2019 -  ),Tactical Systems Specialization Course (21 SEP 2018 - 21 MAR 2019),Lieutenant (jg)(21 SEP 2018 -  ),0,03/04/1938,Div Officer SS Daedalus / Post 3,21-Mar-19
200205,Lieutenant (jg),Lara Kell,Engineering,Deep Space,Direct Enlist,70,Asst Manager Planetary Repair Depot One / Post 4 (06 MAR 2019 -  ),,Lieutenant (jg)(06 MAR 2019 -  ),0,02/12/1942,Asst Manager Planetary Repair Depot One / Post 4,06-Mar-19
200206,Lieutenant (jg),Marek Duran,Tactical Systems,Near Earth,Cadet,75.51,Div Officer SS Prometheus / Post 4 (17 MAY 2023 -  ),Tactical Systems Specialization Course (17 NOV 2022 - 17 MAY 2023),Lieutenant (jg)(17 NOV 2022 -  ),0,02/08/1940,Div Officer SS Prometheus / Post 4,17-May-23
200207,Lieutenant (jg),Vera Sonar,Tactical Systems,Near Earth,Cadet,71.7,Div Officer CS Horizon / Post 3 (20 FEB 2021 -  ),Tactical Systems Specialization Course (20 AUG 2020 - 20 FEB 2021),Lieutenant (jg)(20 AUG 2020 -  ),0,30/04/1946,Div Officer CS Horizon / Post 3,20-Feb-21
200208,Lieutenant (jg),Quell Kell,Tactical Systems,Planetary Surface,Cadet,75.03,Div Officer RS Horizon / Post 3 (13 JAN 2020 -  ),Tactical Systems Specialization Course (13 JUL 2019 - 13 JAN 2020),Lieutenant (jg)(13 JUL 2019 -  ),0,18/11/1939,Div Officer RS Horizon / Post 3,13-Jan-20
200209,Lieutenant (jg),Soren Riker,Engineering,Near Earth,Cadet,77.82,Div Officer CS Pioneer / Post 3 (17 OCT 2018 -  ),Engineering Specialization Course (17 APR 2018 - 17 OCT 2018),Lieutenant (jg)(17 APR 2018 -  ),0,19/08/1939,Div Officer CS Pioneer / Post 3,17-Oct-18
200210,Lieutenant (jg),Tuvok Janus,Tactical Systems,Deep Space,Direct Enlist,70,Asst Manager Systems Maintenance Group Prime / Post 2 (04 OCT 2019 -  ),,Lieutenant (jg)(04 OCT 2019 -  ),2,31/08/1947,Asst Manager Systems Maintenance Group Prime / Post 2,04-Oct-19
200211,Lieutenant (jg),Kara Voss,Hull Systems,Deep Space,Graduate,75.43,Staff Officer SFHQ - Capability Planning / Post 2 (05 AUG 2020 -  ),Hull Systems Specialization Course (05 FEB 2020 - 05 AUG 2020),Lieutenant (jg)(05 FEB 2020 -  ),0,23/04/1941,Staff Officer SFHQ - Capability Planning / Post 2,05-Aug-20
200212,Lieutenant (jg),Kara Duran,Engineering,Planetary Surface,Cadet,71.71,Div Officer CS Atlantis / Post 6 (21 APR 2022 -  ),Engineering Specialization Course (21 OCT 2021 - 21 APR 2022),Lieutenant (jg)(21 OCT 2021 -  ),0,16/11/1940,Div Officer CS Atlantis / Post 6,21-Apr-22
200213,Lieutenant (jg),Jarek Lox,Tactical Systems,Deep Space,Cadet,71.6,Div Officer RS Titan / Post 2 (25 JUL 2022 -  ),Tactical Systems Specialization Course (25 JAN 2022 - 25 JUL 2022),Lieutenant (jg)(25 JAN 2022 -  ),0,16/03/1934,Div Officer RS Titan / Post 2,25-Jul-22
200214,Lieutenant (jg),Tuvok Taran,Tactical Systems,Near Earth,Cadet,72.28,Div Officer CS Atlantis / Post 7 (07 JUL 2021 -  ),Tactical Systems Specialization Course (07 JAN 2021 - 07 JUL 2021),Lieutenant (jg)(07 JAN 2021 -  ),0,05/11/1943,Div Officer CS Atlantis / Post 7,07-Jul-21
200215,Lieutenant (jg),Phlox Reeves,Tactical Systems,Deep Space,Cadet,73.03,Div Officer CS Nova / Post 1 (26 JUL 2019 -  ),Tactical Systems Specialization Course (26 JAN 2019 - 26 JUL 2019),Lieutenant (jg)(26 JAN 2019 -  ),0,19/02/1953,Div Officer CS Nova / Post 1,26-Jul-19
200216,Lieutenant (jg),Korr Lor,Engineering,Deep Space,Cadet,72.16,Div Officer CS Prometheus / Post 3 (08 JUN 2023 -  ),Engineering Specialization Course (08 DEC 2022 - 08 JUN 2023),Lieutenant (jg)(08 DEC 2022 -  ),0,10/04/1941,Div Officer CS Prometheus / Post 3,08-Jun-23
200217,Lieutenant (jg),Marek Tal,Engineering,Deep Space,Direct Enlist,70.6,Instructor - Warp Technology Institute / Post 2 (08 JUN 2018 -  ),,Lieutenant (jg)(08 JUN 2018 -  ),0,03/04/1949,Instructor - Warp Technology Institute / Post 2,08-Jun-18
200218,Lieutenant (jg),Quell Vant,Engineering,Planetary Surface,Cadet,70.82,Div Officer USS Helios / Post 1 (28 APR 2022 -  ),Engineering Specialization Course (28 OCT 2021 - 28 APR 2022),Lieutenant (jg)(28 OCT 2021 -  ),0,04/09/1950,Div Officer USS Helios / Post 1,28-Apr-22
200219,Lieutenant (jg),Galen Gant,Engineering,Planetary Surface,Cadet,70,Div Officer ISS Daedalus / Post 1 (03 NOV 2018 -  ),Engineering Specialization Course (03 MAY 2018 - 03 NOV 2018),Lieutenant (jg)(03 MAY 2018 -  ),0,14/12/1946,Div Officer ISS Daedalus / Post 1,03-Nov-18
200220,Lieutenant (jg),Xan Neris,Engineering,Galactic,Cadet,76.49,Div Officer SS Nova / Post 6 (14 DEC 2019 -  ),Engineering Specialization Course (14 JUN 2019 - 14 DEC 2019),Lieutenant (jg)(14 JUN 2019 -  ),0,30/10/1940,Div Officer SS Nova / Post 6,14-Dec-19
200221,Lieutenant (jg),Rian Gant,Tactical Systems,Galactic,Cadet,70,Div Officer SS Daedalus / Post 4 (23 JUL 2022 -  ),Tactical Systems Specialization Course (23 JAN 2022 - 23 JUL 2022),Lieutenant (jg)(23 JAN 2022 -  ),0,06/09/1933,Div Officer SS Daedalus / Post 4,23-Jul-22
200222,Lieutenant (jg),Marek Lor,Engineering,Planetary Surface,Graduate,76.46,Div Officer SS Horizon / Post 3 (13 AUG 2020 -  ),Engineering Specialization Course (13 FEB 2020 - 13 AUG 2020),Lieutenant (jg)(13 FEB 2020 -  ),0,23/02/1938,Div Officer SS Horizon / Post 3,13-Aug-20
200223,Lieutenant (jg),Jarek Syl,Engineering,Planetary Surface,Direct Enlist,70,Asst Manager Systems Maintenance Group Prime / Post 3 (16 MAR 2022 -  ),,Lieutenant (jg)(16 MAR 2022 -  ),0,21/06/1942,Asst Manager Systems Maintenance Group Prime / Post 3,16-Mar-22
200224,Lieutenant (jg),Lara Tal,Engineering,Planetary Surface,Direct Enlist,73.34,Asst Manager Fleet Maintenance Wing Alpha / Post 3 (02 SEP 2021 -  ),,Lieutenant (jg)(02 SEP 2021 -  ),0,14/06/1949,Asst Manager Fleet Maintenance Wing Alpha / Post 3,02-Sep-21
200225,Lieutenant (jg),Zorin Quinn,Engineering,Planetary Surface,Graduate,77.08,Div Officer RS Nova / Post 4 (16 JAN 2020 -  ),Engineering Specialization Course (16 JUL 2019 - 16 JAN 2020),Lieutenant (jg)(16 JUL 2019 -  ),0,27/11/1933,Div Officer RS Nova / Post 4,16-Jan-20
200226,Lieutenant (jg),Marek Janus,Engineering,Deep Space,Direct Enlist,75.35,Asst Manager Starbase Support Command Delta / Post 2 (11 DEC 2022 -  ),,Lieutenant (jg)(11 DEC 2022 -  ),0,30/06/1937,Asst Manager Starbase Support Command Delta / Post 2,11-Dec-22
200227,Lieutenant (jg),Bren Tal,Tactical Systems,Near Earth,Cadet,79.18,Div Officer CS Pioneer / Post 4 (20 MAY 2022 -  ),Tactical Systems Specialization Course (20 NOV 2021 - 20 MAY 2022),Lieutenant (jg)(20 NOV 2021 -  ),0,21/07/1940,Div Officer CS Pioneer / Post 4,20-May-22
200228,Lieutenant (jg),Jorah Vant,Engineering,Planetary Surface,Cadet,70.8,Div Officer SS Daedalus / Post 5 (06 AUG 2018 -  ),Engineering Specialization Course (06 FEB 2018 - 06 AUG 2018),Lieutenant (jg)(06 FEB 2018 -  ),0,09/06/1938,Div Officer SS Daedalus / Post 5,06-Aug-18
200229,Lieutenant (jg),Sela Zal,Engineering,Deep Space,Graduate,75.12,Div Officer SS Atlantis / Post 4 (21 DEC 2020 -  ),Engineering Specialization Course (21 JUN 2020 - 21 DEC 2020),Lieutenant (jg)(21 JUN 2020 -  ),0,25/11/1939,Div Officer SS Atlantis / Post 4,21-Dec-20
200230,Lieutenant (jg),Kara Gant,Engineering,Near Earth,Cadet,73.3,Div Officer SS Titan / Post 5 (13 MAY 2023 -  ),Engineering Specialization Course (13 NOV 2022 - 13 MAY 2023),Lieutenant (jg)(13 NOV 2022 -  ),0,31/05/1943,Div Officer SS Titan / Post 5,13-May-23
200231,Lieutenant (jg),Lara Neris,Engineering,Planetary Surface,Direct Enlist,73.06,Asst Manager Planetary Repair Depot One / Post 5 (19 DEC 2020 -  ),,Lieutenant (jg)(19 DEC 2020 -  ),0,15/12/1937,Asst Manager Planetary Repair Depot One / Post 5,19-Dec-20
200232,Lieutenant (jg),Tuvok Zal,Tactical Systems,Planetary Surface,Direct Enlist,73.74,Asst Manager Planetary Repair Depot Two / Post 4 (19 MAR 2022 -  ),,Lieutenant (jg)(19 MAR 2022 -  ),0,26/07/1953,Asst Manager Planetary Repair Depot Two / Post 4,19-Mar-22
200233,Lieutenant (jg),Varis Taran,Engineering,Planetary Surface,Cadet,72.13,Div Officer SS Atlantis / Post 5 (26 APR 2023 -  ),Engineering Specialization Course (26 OCT 2022 - 26 APR 2023),Lieutenant (jg)(26 OCT 2022 -  ),0,08/06/1949,Div Officer SS Atlantis / Post 5,26-Apr-23
200234,Lieutenant (jg),Lara Reeves,Tactical Systems,Deep Space,Cadet,76.95,Div Officer RS Horizon / Post 4 (14 NOV 2022 -  ),Tactical Systems Specialization Course (14 MAY 2022 - 14 NOV 2022),Lieutenant (jg)(14 MAY 2022 -  ),0,18/01/1941,Div Officer RS Horizon / Post 4,14-Nov-22
200235,Lieutenant (jg),Quell Syl,Tactical Systems,Galactic,Graduate,70,Div Officer USS Invictus (10 SEP 2019 -  ),Tactical Systems Specialization Course (10 MAR 2019 - 10 SEP 2019),Lieutenant (jg)(10 MAR 2019 -  ),0,04/04/1945,Div Officer USS Invictus,10-Sep-19
200236,Lieutenant (jg),Tessa Sarek,Tactical Systems,Deep Space,Graduate,76.01,Div Officer CS Titan / Post 3 (09 FEB 2023 -  ),Tactical Systems Specialization Course (09 AUG 2022 - 09 FEB 2023),Lieutenant (jg)(09 AUG 2022 -  ),0,03/12/1945,Div Officer CS Titan / Post 3,09-Feb-23
200237,Lieutenant (jg),Halan Syl,Tactical Systems,Planetary Surface,Cadet,71.41,Div Officer RS Meridian / Post 3 (01 DEC 2019 -  ),Tactical Systems Specialization Course (01 JUN 2019 - 01 DEC 2019),Lieutenant (jg)(01 JUN 2019 -  ),0,16/04/1948,Div Officer RS Meridian / Post 3,01-Dec-19
200238,Lieutenant (jg),Rian Taran,Tactical Systems,Deep Space,Cadet,73.4,Div Officer USS Defiant / Post 3 (06 JUL 2022 -  ),Tactical Systems Specialization Course (06 JAN 2022 - 06 JUL 2022),Lieutenant (jg)(06 JAN 2022 -  ),0,11/07/1949,Div Officer USS Defiant / Post 3,06-Jul-22
200239,Lieutenant (jg),Elaan Duran,Engineering,Planetary Surface,Cadet,73.19,Div Officer ISS Meridian / Post 1 (23 SEP 2020 -  ),Engineering Specialization Course (23 MAR 2020 - 23 SEP 2020),Lieutenant (jg)(23 MAR 2020 -  ),2,14/02/1941,Div Officer ISS Meridian / Post 1,23-Sep-20
200240,Lieutenant (jg),Elaan Kell,Engineering,Planetary Surface,Cadet,77.13,Div Officer USS Helios / Post 2 (05 AUG 2019 -  ),Engineering Specialization Course (05 FEB 2019 - 05 AUG 2019),Lieutenant (jg)(05 FEB 2019 -  ),0,14/03/1944,Div Officer USS Helios / Post 2,05-Aug-19
200241,Lieutenant (jg),Tuvok Cadel,Tactical Systems,Planetary Surface,Cadet,76.26,Div Officer SS Titan / Post 6 (14 DEC 2019 -  ),Tactical Systems Specialization Course (14 JUN 2019 - 14 DEC 2019),Lieutenant (jg)(14 JUN 2019 -  ),0,23/03/1940,Div Officer SS Titan / Post 6,14-Dec-19
200242,Lieutenant (jg),Elaan Riker,Engineering,Galactic,Graduate,71.91,Div Officer USS Endeavour / Post 2 (23 FEB 2021 -  ),Engineering Specialization Course (23 AUG 2020 - 23 FEB 2021),Lieutenant (jg)(23 AUG 2020 -  ),0,19/12/1943,Div Officer USS Endeavour / Post 2,23-Feb-21
200243,Lieutenant (jg),Jarek Taran,Engineering,Deep Space,Cadet,71.47,Div Officer SS Pioneer (02 SEP 2018 -  ),Engineering Specialization Course (02 MAR 2018 - 02 SEP 2018),Lieutenant (jg)(02 MAR 2018 -  ),0,10/01/1951,Div Officer SS Pioneer,02-Sep-18
200244,Lieutenant (jg),Quell Orrel,Engineering,Planetary Surface,Cadet,77.38,Div Officer RS Daedalus / Post 1 (16 MAR 2019 -  ),Engineering Specialization Course (16 SEP 2018 - 16 MAR 2019),Lieutenant (jg)(16 SEP 2018 -  ),0,29/08/1943,Div Officer RS Daedalus / Post 1,16-Mar-19
200245,Lieutenant (jg),Sela Eron,Tactical Systems,Planetary Surface,Cadet,70,Div Officer USS Odyssey / Post 1 (27 JAN 2021 -  ),Tactical Systems Specialization Course (27 JUL 2020 - 27 JAN 2021),Lieutenant (jg)(27 JUL 2020 -  ),0,15/05/1944,Div Officer USS Odyssey / Post 1,27-Jan-21
200246,Lieutenant (jg),Tuvok Cadel,Tactical Systems,Deep Space,Cadet,76.26,Div Officer ISS Daedalus / Post 2 (25 JAN 2020 -  ),Tactical Systems Specialization Course (25 JUL 2019 - 25 JAN 2020),Lieutenant (jg)(25 JUL 2019 -  ),0,23/03/1940,Div Officer ISS Daedalus / Post 2,25-Jan-20
200247,Lieutenant (jg),Orin Zal,Engineering,Planetary Surface,Direct Enlist,73.29,Asst Manager Starbase Support Command Delta / Post 3 (15 APR 2018 -  ),,Lieutenant (jg)(15 APR 2018 -  ),0,22/12/1947,Asst Manager Starbase Support Command Delta / Post 3,15-Apr-18
200248,Lieutenant (jg),Ari Pax,Science,Deep Space,Cadet,70,Staff Officer R&D - Tactical AI / Post 1 (18 DEC 2019 -  ),"Masters in Applied Sciences (18 DEC 2019 - 18 DEC 2021), PhD in Advanced Starfleet Sciences (18 DEC 2021 - 18 DEC 2024)",Lieutenant (jg)(18 DEC 2019 -  ),0,18/02/1944,Staff Officer R&D - Tactical AI / Post 1,18-Dec-19
200249,Lieutenant (jg),Marek Pax,Tactical Systems,Deep Space,Graduate,70,Div Officer CS Gateway / Post 2 (11 OCT 2021 -  ),Tactical Systems Specialization Course (11 APR 2021 - 11 OCT 2021),Lieutenant (jg)(11 APR 2021 -  ),0,05/10/1942,Div Officer CS Gateway / Post 2,11-Oct-21
200250,Lieutenant (jg),Lirin Janus,Tactical Systems,Planetary Surface,Cadet,72.4,Div Officer USS Valiant (07 JUN 2022 -  ),Tactical Systems Specialization Course (07 DEC 2021 - 07 JUN 2022),Lieutenant (jg)(07 DEC 2021 -  ),0,16/09/1939,Div Officer USS Valiant,07-Jun-22
200251,Lieutenant (jg),Kara Reeves,Tactical Systems,Planetary Surface,Cadet,75.36,Div Officer SS Meridian / Post 3 (05 JUN 2021 -  ),Tactical Systems Specialization Course (05 DEC 2020 - 05 JUN 2021),Lieutenant (jg)(05 DEC 2020 -  ),0,17/04/1942,Div Officer SS Meridian / Post 3,05-Jun-21
200252,Lieutenant (jg),Orin Marin,Engineering,Deep Space,Direct Enlist,72.83,Asst Manager Fleet Maintenance Wing Alpha / Post 4 (15 DEC 2021 -  ),,Lieutenant (jg)(15 DEC 2021 -  ),2,16/01/1947,Asst Manager Fleet Maintenance Wing Alpha / Post 4,15-Dec-21
200253,Lieutenant (jg),Zorin Marin,Engineering,Planetary Surface,Cadet,76.92,Div Officer USS Dauntless (28 SEP 2019 -  ),Engineering Specialization Course (28 MAR 2019 - 28 SEP 2019),Lieutenant (jg)(28 MAR 2019 -  ),0,04/04/1944,Div Officer USS Dauntless,28-Sep-19
200254,Lieutenant (jg),Quell Kell,Tactical Systems,Deep Space,Cadet,75.03,Div Officer USS Aegis / Post 5 (07 FEB 2019 -  ),Tactical Systems Specialization Course (07 AUG 2018 - 07 FEB 2019),Lieutenant (jg)(07 AUG 2018 -  ),0,18/11/1939,Div Officer USS Aegis / Post 5,07-Feb-19
200255,Lieutenant (jg),Soren Quinn,Engineering,Planetary Surface,Graduate,74.36,Div Officer ISS Titan / Post 2 (27 MAY 2023 -  ),Engineering Specialization Course (27 NOV 2022 - 27 MAY 2023),Lieutenant (jg)(27 NOV 2022 -  ),0,18/10/1945,Div Officer ISS Titan / Post 2,27-May-23
200256,Lieutenant (jg),Ari Pax,Hull Systems,Planetary Surface,Cadet,74.49,Staff Officer SFHQ - Capability Planning / Post 3 (23 APR 2023 -  ),Hull Systems Specialization Course (23 OCT 2022 - 23 APR 2023),Lieutenant (jg)(23 OCT 2022 -  ),0,03/07/1940,Staff Officer SFHQ - Capability Planning / Post 3,23-Apr-23
200257,Lieutenant (jg),Sel Neris,Engineering,Planetary Surface,Cadet,70,Div Officer ISS Nova / Post 2 (18 SEP 2019 -  ),Engineering Specialization Course (18 MAR 2019 - 18 SEP 2019),Lieutenant (jg)(18 MAR 2019 -  ),0,02/07/1949,Div Officer ISS Nova / Post 2,18-Sep-19
200258,Lieutenant (jg),Keelan Reeves,Tactical Systems,Deep Space,Direct Enlist,72.96,Asst Manager Planetary Repair Depot Two / Post 5 (06 NOV 2020 -  ),,Lieutenant (jg)(06 NOV 2020 -  ),0,29/09/1936,Asst Manager Planetary Repair Depot Two / Post 5,06-Nov-20
200259,Lieutenant (jg),Sela Duran,Tactical Systems,Galactic,Cadet,73.53,Div Officer SS Horizon / Post 4 (26 NOV 2019 -  ),Tactical Systems Specialization Course (26 MAY 2019 - 26 NOV 2019),Lieutenant (jg)(26 MAY 2019 -  ),0,26/10/1938,Div Officer SS Horizon / Post 4,26-Nov-19
200260,Lieutenant (jg),Kara Taran,Engineering,Planetary Surface,Graduate,73.34,Div Officer RS Horizon / Post 5 (19 JAN 2023 -  ),Engineering Specialization Course (19 JUL 2022 - 19 JAN 2023),Lieutenant (jg)(19 JUL 2022 -  ),0,30/07/1945,Div Officer RS Horizon / Post 5,19-Jan-23
200261,Lieutenant (jg),Soren Lor,Engineering,Deep Space,Graduate,70,Div Officer ISS Genesis / Post 2 (06 FEB 2021 -  ),Engineering Specialization Course (06 AUG 2020 - 06 FEB 2021),Lieutenant (jg)(06 AUG 2020 -  ),0,09/09/1945,Div Officer ISS Genesis / Post 2,06-Feb-21
200262,Lieutenant (jg),Elaan Marin,Tactical Systems,Planetary Surface,Cadet,70.23,Div Officer SS Meridian / Post 4 (21 APR 2019 -  ),Tactical Systems Specialization Course (21 OCT 2018 - 21 APR 2019),Lieutenant (jg)(21 OCT 2018 -  ),0,07/06/1948,Div Officer SS Meridian / Post 4,21-Apr-19
200263,Lieutenant (jg),Ari Sonar,Tactical Systems,Deep Space,Cadet,70,Div Officer USS Endeavour / Post 3 (03 JAN 2023 -  ),Tactical Systems Specialization Course (03 JUL 2022 - 03 JAN 2023),Lieutenant (jg)(03 JUL 2022 -  ),0,17/07/1945,Div Officer USS Endeavour / Post 3,03-Jan-23
200264,Lieutenant (jg),Zorin Dax,Tactical Systems,Planetary Surface,Graduate,73.87,Div Officer USS Intrepid / Post 1 (14 JAN 2021 -  ),Tactical Systems Specialization Course (14 JUL 2020 - 14 JAN 2021),Lieutenant (jg)(14 JUL 2020 -  ),0,06/10/1937,Div Officer USS Intrepid / Post 1,14-Jan-21
200265,Lieutenant (jg),Xan Eron,Tactical Systems,Planetary Surface,Cadet,74.52,Div Officer ISS Meridian / Post 2 (21 JUL 2022 -  ),Tactical Systems Specialization Course (21 JAN 2022 - 21 JUL 2022),Lieutenant (jg)(21 JAN 2022 -  ),0,10/02/1934,Div Officer ISS Meridian / Post 2,21-Jul-22
200266,Lieutenant (jg),Elaan Orrel,Engineering,Deep Space,Graduate,70,Div Officer SS Nova / Post 7 (02 MAR 2021 -  ),Engineering Specialization Course (02 SEP 2020 - 02 MAR 2021),Lieutenant (jg)(02 SEP 2020 -  ),0,12/09/1940,Div Officer SS Nova / Post 7,02-Mar-21
200267,Lieutenant (jg),T'Len Gant,Engineering,Galactic,Cadet,72.44,Div Officer CS Daedalus / Post 4 (11 SEP 2022 -  ),Engineering Specialization Course (11 MAR 2022 - 11 SEP 2022),Lieutenant (jg)(11 MAR 2022 -  ),0,24/07/1946,Div Officer CS Daedalus / Post 4,11-Sep-22
200268,Lieutenant (jg),Phlox Pax,Engineering,Deep Space,Graduate,72.85,Div Officer ISS Titan / Post 3 (22 JUL 2019 -  ),Engineering Specialization Course (22 JAN 2019 - 22 JUL 2019),Lieutenant (jg)(22 JAN 2019 -  ),1,06/03/1940,Div Officer ISS Titan / Post 3,22-Jul-19
200269,Lieutenant (jg),Sel Reeves,Engineering,Near Earth,Graduate,76.9,Div Officer USS Intrepid / Post 2 (17 APR 2023 -  ),Engineering Specialization Course (17 OCT 2022 - 17 APR 2023),Lieutenant (jg)(17 OCT 2022 -  ),0,08/05/1939,Div Officer USS Intrepid / Post 2,17-Apr-23
200270,Lieutenant (jg),Korr Lor,Engineering,Deep Space,Cadet,71.59,Div Officer ISS Prometheus / Post 3 (26 NOV 2021 -  ),Engineering Specialization Course (26 MAY 2021 - 26 NOV 2021),Lieutenant (jg)(26 MAY 2021 -  ),0,18/01/1943,Div Officer ISS Prometheus / Post 3,26-Nov-21
200271,Lieutenant (jg),Marek Vant,Engineering,Planetary Surface,Graduate,70,Div Officer ISS Genesis / Post 3 (03 DEC 2019 -  ),Engineering Specialization Course (03 JUN 2019 - 03 DEC 2019),Lieutenant (jg)(03 JUN 2019 -  ),1,22/06/1950,Div Officer ISS Genesis / Post 3,03-Dec-19
200272,Lieutenant (jg),Torin Bex,Tactical Systems,Planetary Surface,Cadet,70.93,Div Officer SS Horizon / Post 5 (13 MAR 2019 -  ),Tactical Systems Specialization Course (13 SEP 2018 - 13 MAR 2019),Lieutenant (jg)(13 SEP 2018 -  ),0,11/12/1948,Div Officer SS Horizon / Post 5,13-Mar-19
200273,Lieutenant (jg),Vera Voss,Engineering,Near Earth,Cadet,72.53,Div Officer RS Prometheus / Post 3 (14 MAR 2022 -  ),Engineering Specialization Course (14 SEP 2021 - 14 MAR 2022),Lieutenant (jg)(14 SEP 2021 -  ),0,01/10/1937,Div Officer RS Prometheus / Post 3,14-Mar-22
200274,Lieutenant (jg),Kara Reeves,Tactical Systems,Deep Space,Direct Enlist,70,Asst Manager Dockyard Complex Two / Post 4 (07 SEP 2021 -  ),,Lieutenant (jg)(07 SEP 2021 -  ),0,03/02/1949,Asst Manager Dockyard Complex Two / Post 4,07-Sep-21
200275,Lieutenant (jg),Lara Sonar,Engineering,Galactic,Direct Enlist,70.07,Asst Manager Planetary Repair Depot One / Post 6 (15 MAY 2018 -  ),,Lieutenant (jg)(15 MAY 2018 -  ),0,02/11/1952,Asst Manager Planetary Repair Depot One / Post 6,15-May-18
200276,Lieutenant (jg),Keelan Reeves,Tactical Systems,Deep Space,Cadet,72.98,Div Officer CS Meridian / Post 3 (15 MAR 2020 -  ),Tactical Systems Specialization Course (15 SEP 2019 - 15 MAR 2020),Lieutenant (jg)(15 SEP 2019 -  ),0,04/04/1939,Div Officer CS Meridian / Post 3,15-Mar-20
200277,Lieutenant (jg),Orin Khan,Tactical Systems,Planetary Surface,Cadet,74.36,Div Officer SS Gateway / Post 4 (17 OCT 2018 -  ),Tactical Systems Specialization Course (17 APR 2018 - 17 OCT 2018),Lieutenant (jg)(17 APR 2018 -  ),1,02/02/1944,Div Officer SS Gateway / Post 4,17-Oct-18
200278,Lieutenant (jg),Torin Tal,Engineering,Deep Space,Cadet,77.2,Div Officer RS Meridian / Post 4 (24 JAN 2022 -  ),Engineering Specialization Course (24 JUL 2021 - 24 JAN 2022),Lieutenant (jg)(24 JUL 2021 -  ),1,23/07/1947,Div Officer RS Meridian / Post 4,24-Jan-22
200279,Lieutenant (jg),Zorin Quinn,Engineering,Galactic,Cadet,77.08,Div Officer SS Atlantis / Post 6 (12 MAY 2021 -  ),Engineering Specialization Course (12 NOV 2020 - 12 MAY 2021),Lieutenant (jg)(12 NOV 2020 -  ),0,27/11/1933,Div Officer SS Atlantis / Post 6,12-May-21
200280,Lieutenant (jg),Marek Duran,Engineering,Planetary Surface,Direct Enlist,74.33,Asst Manager Starbase Support Command Delta / Post 4 (09 SEP 2019 -  ),,Lieutenant (jg)(09 SEP 2019 -  ),0,11/08/1947,Asst Manager Starbase Support Command Delta / Post 4,09-Sep-19
200281,Lieutenant,Bren Taran,Engineering,Planetary Surface,Graduate,72.45,"Div Officer SS Pioneer (01 JUN 2015 - 01 DEC 2019), Instructor - Warp Technology Institute / Post 3 (01 DEC 2019 -  )",Engineering Specialization Course (01 DEC 2014 - 01 JUN 2015),"Lieutenant (jg)(01 DEC 2014 - 01 DEC 2019), Lieutenant(01 DEC 2019 -  )",0,10/09/1933,Instructor - Warp Technology Institute / Post 3,01-Dec-19
200282,Lieutenant,Tessa Lox,Tactical Systems,Galactic,Cadet,70,"Div Officer USS Meridian (17 JUN 2014 - 17 DEC 2018), Instructor - Starfleet Hull School / Post 2 (17 DEC 2018 -  )",Tactical Systems Specialization Course (17 DEC 2013 - 17 JUN 2014),"Lieutenant (jg)(17 DEC 2013 - 17 DEC 2018), Lieutenant(17 DEC 2018 -  )",0,18/08/1933,Instructor - Starfleet Hull School / Post 2,17-Dec-18
200283,Lieutenant,Elaan Lor,Engineering,Planetary Surface,Direct Enlist,75.93,"Asst Manager Planetary Repair Depot Two (19 DEC 2016 - 19 DEC 2021), Dy Manager Hull Repair Yard Alpha / Post 2 (19 DEC 2021 -  )",,"Lieutenant (jg)(19 DEC 2016 - 19 DEC 2021), Lieutenant(19 DEC 2021 -  )",0,19/04/1936,Dy Manager Hull Repair Yard Alpha / Post 2,19-Dec-21
